ObservationDate,Province/State,Country/Region,Confirmed,Deaths
0,Anhui,Mainland China,555,17
1,Anhui,Mainland China,653,18
2,Hubei,Mainland China,941,26
3,Hubei,Mainland China,1438,42
4,Hubei,Mainland China,2118,56
5,Hubei,Mainland China,2927,82
6,Hubei,Mainland China,5578,131
7,Hubei,Mainland China,6165,133
8,Hubei,Mainland China,8235,171
9,Hubei,Mainland China,9925,213
10,Hubei,Mainland China,12030,259
11,Hubei,Mainland China,16779,362
12,Hubei,Mainland China,19870,426
13,Hubei,Mainland China,23878,492
14,Hubei,Mainland China,27621,564
15,Hubei,Mainland China,30803,634
16,Hubei,Mainland China,34377,719
17,Hubei,Mainland China,37106,806
18,Hubei,Mainland China,40136,906
19,Hubei,Mainland China,42748,1013
20,Hubei,Mainland China,44787,1113
21,Hubei,Mainland China,45206,1118
22,Hubei,Mainland China,60352,1371
23,Hubei,Mainland China,66869,1523
24,Hubei,Mainland China,69014,1666
25,Hubei,Mainland China,71208,1770
26,Hubei,Mainland China,73242,1868
27,Hubei,Mainland China,75120,2007
28,Hubei,Mainland China,75623,2122
29,Hubei,Mainland China,76181,2247
30,Hubei,Mainland China,76805,2251
31,Hubei,Mainland China,78561,2458
32,Hubei,Mainland China,78947,2469
33,Hubei,Mainland China,79549,2629
34,Hubei,Mainland China,80394,2708
35,Hubei,Mainland China,81376,2770
36,Hubei,Mainland China,82732,2814
37,Hubei,Mainland China,84101,2872
38,Hubei,Mainland China,85974,2940
39,Hubei,Mainland China,88320,2995
40,Hubei,Mainland China,90236,3079
41,Hubei,Mainland China,92750,3153
42,Hubei,Mainland China,94998,3243
43,Hubei,Mainland China,97690,3336
44,Hubei,Mainland China,101542,3446
45,Hubei,Mainland China,105459,3541
46,Hubei,Mainland China,109323,3782
47,Hubei,Mainland China,113045,3974
48,Hubei,Mainland China,118596,4262
49,Hubei,Mainland China,125850,4615
50,Hubei,Mainland China,128329,4720
51,Hubei,Mainland China,145185,5404
52,Hubei,Mainland China,156085,5819
53,Hubei,Mainland China,167410,6440
54,Hubei,Mainland China,181576,7126
55,Hubei,Mainland China,197211,7905
56,Hubei,Mainland China,214983,8733
57,Hubei,Mainland China,242671,9867
58,Hubei,Mainland China,272267,11297
59,Hubei,Mainland China,304681,12973
60,,Afghanistan,337337,14623
61,,Afghanistan,378496,16497
62,,Afghanistan,418113,18616
63,,Afghanistan,467795,21181
64,,Afghanistan,529929,23971
65,,Afghanistan,593755,27197
66,,Afghanistan,661079,30653
67,,Afghanistan,720379,33927
68,,Afghanistan,782777,37584
69,,Afghanistan,857923,42110
70,,Afghanistan,933022,46815
71,,Afghanistan,1013681,52984
72,,Afghanistan,1096321,58792
73,,Afghanistan,1197840,64612
74,,Afghanistan,1272552,69385
75,,Afghanistan,1345514,74575
76,,Afghanistan,1426554,81879
77,,Afghanistan,1511923,88351
78,,Afghanistan,1595881,95452
79,,Afghanistan,1692127,102538
80,,Afghanistan,1771872,108503
81,,Afghanistan,1847155,114105
82,,Afghanistan,1917810,119484
83,,Afghanistan,1976594,125995
84,,Afghanistan,2056470,134195
85,,Afghanistan,2152979,143806
86,,Afghanistan,2240460,153828
87,,Afghanistan,2318112,159513
88,,Afghanistan,2401788,165046
89,,Afghanistan,2472743,169989
90,,Afghanistan,2549772,176589
91,,Afghanistan,2624205,183070
92,,Afghanistan,2708996,190860
93,,Afghanistan,2810841,197158
94,,Afghanistan,2897017,202851
95,,Afghanistan,2971479,206551
96,,Afghanistan,3041796,211172
97,,Afghanistan,3116428,217158
98,,Afghanistan,3193996,227644
99,,Afghanistan,3256867,233391
100,,Afghanistan,3343805,238654
101,,Afghanistan,3427324,243811
102,,Afghanistan,3506705,247474
103,,Afghanistan,3583048,251541
104,,Afghanistan,3662697,257241
105,,Afghanistan,3755377,263833
106,,Afghanistan,3845745,269569
107,,Afghanistan,3938047,274901
108,,Afghanistan,4023990,279315
109,,Afghanistan,4101712,282712
110,,Afghanistan,4177548,286332
111,,Afghanistan,4262244,291967
112,,Afghanistan,4347111,297199
113,,Afghanistan,4442181,302421
114,,Afghanistan,4542428,307668
115,,Afghanistan,4634154,311785
116,,Afghanistan,4713932,315189
117,,Afghanistan,4802244,318484
118,,Afghanistan,4897905,323288
119,,Afghanistan,4996693,328119
120,,Afghanistan,5102700,332928
121,,Afghanistan,5211089,338164
122,,Afghanistan,5310584,342102
123,,Afghanistan,5407764,345065
124,,Afghanistan,5495306,346237
125,,Afghanistan,5589886,350458
126,,Afghanistan,5692052,355637
127,,Afghanistan,5809195,360314
128,,Afghanistan,5924573,364873
129,,Afghanistan,6059574,369132
130,,Afghanistan,6167234,372040
131,,Afghanistan,6265796,375551
132,,Afghanistan,6386389,380391
133,,Afghanistan,6508773,385955
134,,Afghanistan,6633252,391144
135,,Afghanistan,6770781,396131
136,,Afghanistan,6897248,400010
137,,Afghanistan,7010883,402753
138,,Afghanistan,7119329,406552
139,,Afghanistan,7242780,411444
140,,Afghanistan,7361026,416210
141,,Afghanistan,7515102,421466
142,,Afghanistan,7633556,425403
143,,Afghanistan,7767818,429746
144,,Afghanistan,7901595,433078
145,,Afghanistan,8034795,436910
146,,Afghanistan,8174228,443697
147,,Afghanistan,8350856,448969
148,,Afghanistan,8489705,453994
149,,Afghanistan,8668995,460227
150,,Afghanistan,8792038,464474
151,,Afghanistan,8955717,468373
152,,Afghanistan,9099070,472175
153,,Afghanistan,9264438,477589
154,,Afghanistan,9431593,482761
155,,Afghanistan,9610846,489322
156,,Afghanistan,9802724,494190
157,,Afghanistan,9979590,498735
158,,Afghanistan,10147623,501912
159,,Afghanistan,10302899,505522
160,,Afghanistan,10476535,511269
161,,Afghanistan,10693407,516229
162,,Afghanistan,10871451,521312
163,,Afghanistan,11075851,526426
164,,Afghanistan,11267867,530772
165,,Afghanistan,11450005,534285
166,,Afghanistan,11620693,538084
167,,Afghanistan,11830762,544187
168,,Afghanistan,12043197,549496
169,,Afghanistan,12269835,554949
170,,Afghanistan,12501216,560235
171,,Afghanistan,12719480,565167
172,,Afghanistan,12912285,569155
173,,Afghanistan,13105667,573059
174,,Afghanistan,13325529,578690
175,,Afghanistan,13557175,584155
176,,Afghanistan,13806850,589952
177,,Afghanistan,14057101,596560
178,,Afghanistan,14294105,602184
179,,Afghanistan,14508470,606215
180,,Afghanistan,14708749,609943
181,,Afghanistan,14948404,616499
182,,Afghanistan,15229518,623495
183,,Afghanistan,15512286,633455
184,,Afghanistan,15794227,639704
185,,Afghanistan,16047943,645302
186,,Afghanistan,16253906,648698
187,,Afghanistan,16488295,654150
188,,Afghanistan,16692174,659716
189,,Afghanistan,17030363,667111
190,,Afghanistan,17311131,673313
191,,Afghanistan,17602706,679636
192,,Afghanistan,17853427,685196
193,,Afghanistan,18085419,689508
194,,Afghanistan,18288826,694139
195,,Afghanistan,18547781,700886
196,,Afghanistan,18821765,707932
197,,Afghanistan,19108404,715061
198,,Afghanistan,19391400,721454
199,,Afghanistan,19650763,726918
200,,Afghanistan,19877133,731482
201,,Afghanistan,20104102,736636
202,,Afghanistan,20358571,742869
203,,Afghanistan,20647523,749850
204,,Afghanistan,20923569,755836
205,,Afghanistan,21227953,765968
206,,Afghanistan,21478626,771351
207,,Afghanistan,21692817,775556
208,,Afghanistan,21903309,774354
209,,Afghanistan,22159321,781241
210,,Afghanistan,22434278,787963
211,,Afghanistan,22702184,793997
212,,Afghanistan,22973877,799509
